file_name,key_word,window,collocate_term,collocate_frequency,text_frequency,MI_score
Barclay_Ladies_1917,red,5,see,1,115,2.0482431852495417
Barclay_Ladies_1917,red,5,very,1,122,1.962995898631031
Barclay_Ladies_1917,red,5,still,1,126,1.9164533126940004
Barclay_Ladies_1917,red,5,a,15,2063,1.790095725915951
Barclay_Ladies_1917,red,5,what,1,139,1.77479216347041
Barclay_Ladies_1917,red,5,over,1,159,1.580850280909562
Barclay_Ladies_1917,red,5,lady,1,172,1.4674684814918193
Barclay_Ladies_1917,red,5,white,1,189,1.3314908119728448
Barclay_Ladies_1917,red,5,as,4,863,1.1405164870149622
Barclay_Ladies_1917,red,5,so,2,443,1.1025703476388988
Barclay_Ladies_1917,red,5,at,3,725,0.9768585520127767
Barclay_Ladies_1917,red,5,it,4,972,0.9689207325881363
Barclay_Ladies_1917,red,5,who,1,253,0.910739661499607
Barclay_Ladies_1917,red,5,before,1,253,0.910739661499607
Barclay_Ladies_1917,red,5,of,14,3611,0.8829054533028814
Barclay_Ladies_1917,red,5,our,1,263,0.854814246901615
Barclay_Ladies_1917,red,5,in,7,1994,0.7396384638533254
Barclay_Ladies_1917,red,5,if,1,290,0.7138241461789827
Barclay_Ladies_1917,red,5,on,2,612,0.6363453935012656
Barclay_Ladies_1917,red,5,had,4,1225,0.6351672023039843
Barclay_Ladies_1917,red,5,and,10,3442,0.4666299490410762
Barclay_Ladies_1917,red,5,into,1,357,0.41395297216481747
Barclay_Ladies_1917,red,5,mary,1,369,0.36625623013352127
Barclay_Ladies_1917,red,5,antony,1,382,0.31630440815816857
Barclay_Ladies_1917,red,5,all,1,391,0.28270843888656494
Barclay_Ladies_1917,red,5,the,23,9132,0.26058004802622853
Barclay_Ladies_1917,red,5,his,3,1335,0.09607171034015727
Barclay_Ladies_1917,red,5,by,1,476,-0.0010845271140262445
Barclay_Ladies_1917,red,5,that,2,1221,-0.3601142487934859
Barclay_Ladies_1917,red,5,prioress,1,644,-0.4371836419206997
Barclay_Ladies_1917,red,5,from,1,673,-0.5007294584163997
Barclay_Ladies_1917,red,5,for,1,710,-0.5779419781981272
Barclay_Ladies_1917,red,5,but,1,711,-0.579972513425498
Barclay_Ladies_1917,red,5,bishop,1,764,-0.6836955918418314
Barclay_Ladies_1917,red,5,was,1,889,-0.9023063726358528
Barclay_Ladies_1917,red,5,with,1,1013,-1.090685222607221
Barclay_Ladies_1917,red,5,i,1,1418,-1.575908581045599
Barclay_Ladies_1917,red,5,she,1,1727,-1.860319131335007
Barclay_Ladies_1917,red,5,to,2,3508,-1.8826997962508158
