file_name,key_word,window,collocate_term,collocate_frequency,text_frequency,MI_score
Bennet_Imperial_1930,jealous,5,i,8,4143,1.085925737138422
Bennet_Imperial_1930,jealous,5,have,2,1077,1.0295833075734215
Bennet_Imperial_1930,jealous,5,do,1,557,0.9808523247775975
Bennet_Imperial_1930,jealous,5,or,1,560,0.9731028251726629
Bennet_Imperial_1930,jealous,5,well,1,578,0.9274601596169504
Bennet_Imperial_1930,jealous,5,very,1,583,0.9150337689171328
Bennet_Imperial_1930,jealous,5,with,3,1782,0.8880667213168634
Bennet_Imperial_1930,jealous,5,you,5,3218,0.7723653262815454
Bennet_Imperial_1930,jealous,5,miss,1,656,0.7448338374995455
Bennet_Imperial_1930,jealous,5,about,1,705,0.6409063948314733
Bennet_Imperial_1930,jealous,5,if,1,746,0.5593540218623916
Bennet_Imperial_1930,jealous,5,an,1,823,0.4176372216960037
Bennet_Imperial_1930,jealous,5,as,2,1659,0.4062876711617662
Bennet_Imperial_1930,jealous,5,t,2,1742,0.33585693351876467
Bennet_Imperial_1930,jealous,5,evelyn,2,1747,0.33172194920086967
Bennet_Imperial_1930,jealous,5,been,1,903,0.28380366463677115
Bennet_Imperial_1930,jealous,5,that,3,2734,0.27055081523272545
Bennet_Imperial_1930,jealous,5,not,2,1886,0.2212718814425326
Bennet_Imperial_1930,jealous,5,would,1,987,0.15547956766123158
Bennet_Imperial_1930,jealous,5,was,4,4363,0.011281083741129573
Bennet_Imperial_1930,jealous,5,him,1,1257,-0.19338309230287856
Bennet_Imperial_1930,jealous,5,the,10,14400,-0.38946725421204537
Bennet_Imperial_1930,jealous,5,her,2,2937,-0.4177417082072219
Bennet_Imperial_1930,jealous,5,a,4,5908,-0.42606826864715985
Bennet_Imperial_1930,jealous,5,be,1,1567,-0.511403622354951
Bennet_Imperial_1930,jealous,5,it,2,3236,-0.5576100503123483
Bennet_Imperial_1930,jealous,5,at,1,1688,-0.6187133465895557
Bennet_Imperial_1930,jealous,5,had,2,3382,-0.6212751022923538
Bennet_Imperial_1930,jealous,5,and,4,7381,-0.7472147327198514
Bennet_Imperial_1930,jealous,5,she,2,3736,-0.7648928975920327
Bennet_Imperial_1930,jealous,5,for,1,1924,-0.8075072416524127
Bennet_Imperial_1930,jealous,5,but,1,1928,-0.8105034941123324
Bennet_Imperial_1930,jealous,5,to,3,6602,-1.0013390803837505
Bennet_Imperial_1930,jealous,5,s,1,2331,-1.0843474470112369
Bennet_Imperial_1930,jealous,5,in,1,4261,-1.9545904940605898
